City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,mangrol,21.1167,70.1167,294.34,60,61,7.05,IN,1709402868
132,milazzo,38.2212,15.2383,287.8,81,8,0.89,IT,1709402869
133,mopti,14.6667,-4.0,308.49,6,5,3.93,ML,1709402870
134,touros,-5.1989,-35.4608,303.32,67,46,3.74,BR,1709402870
135,vilyuysk,63.7553,121.6247,244.26,100,100,1.79,RU,1709402871
136,hede,33.7681,120.2517,275.39,82,6,4.39,CN,1709402872
137,togur,58.3631,82.8265,253.23,100,77,1.34,RU,1709402873
138,al jawf,29.5,38.75,291.32,24,0,3.06,SA,1709402874
139,kayangel,8.0823,134.7173,300.41,75,85,7.92,PW,1709402875
140,mariinsk,56.2139,87.7472,253.1,100,96,0.43,RU,1709402876
141,tazacorte,28.629,-17.9293,292.69,61,40,7.2,ES,1709402877
142,uturoa,-16.7333,-151.4333,301.6,76,99,7.08,PF,1709402877
143,badger,64.8,-147.5333,242.79,69,0,0.0,US,1709402878
144,isafjordur,66.0755,-23.124,268.5,62,13,1.74,IS,1709402879
145,cidreira,-30.1811,-50.2056,299.48,76,3,6.18,BR,1709402880
146,benguela,-12.5763,13.4055,300.86,81,86,2.17,AO,1709402881
147,baiyin,36.5583,104.2081,270.3,56,2,0.25,CN,1709402882
148,komotini,41.1228,25.3964,284.85,95,93,2.18,GR,1709402883
149,panorama,40.5878,23.0315,284.88,79,20,1.54,GR,1709402884
150,horta,38.5333,-28.6333,288.95,68,75,7.2,PT,1709402884
151,santyoku,37.4406,129.1708,276.37,70,39,4.98,KR,1709402885
152,bereeda,11.8704,51.0579,299.22,76,99,4.65,SO,1709402886
153,hamilton,39.1834,-84.5333,283.98,84,100,1.34,US,1709402887
154,kembe,4.6228,21.8865,303.44,36,100,1.48,CF,1709402888
155,vadso,70.0744,29.7487,273.64,86,43,4.12,NO,1709402889
156,kavalerovo,44.2661,135.0572,256.7,95,20,1.79,RU,1709402890
157,banikoara,11.2985,2.4386,308.4,9,66,1.49,BJ,1709402891
158,qamdo,31.1667,97.2333,269.37,54,30,2.86,CN,1709402892
159,yeppoon,-23.1333,150.7333,296.03,88,17,1.87,AU,1709402893
160,puerto rico,-26.796,-55.024,311.98,28,0,1.39,AR,1709402894
161,nacala,-14.5428,40.6728,299.19,93,96,1.5,MZ,1709402895
162,qarah bagh,34.9402,61.7759,264.56,93,60,1.45,AF,1709402896
163,remire-montjoly,4.9167,-52.2667,300.17,89,100,2.57,GF,1709402897
164,churapcha,62.0025,132.4325,251.94,99,100,1.78,RU,1709402897
165,kapuskasing,49.4169,-82.4331,276.43,94,99,2.8,CA,1709402898
166,newport,51.5877,-2.9984,279.16,81,89,3.89,GB,1709402899
167,ulsteinvik,62.3432,5.8487,280.24,76,100,2.68,NO,1709402900
168,port mathurin,-19.6833,63.4167,299.93,86,23,8.0,MU,1709402901
169,prince rupert,54.3161,-130.3201,273.26,55,22,2.29,CA,1709402902
170,prado,-17.3411,-39.2208,300.73,75,100,3.02,BR,1709402805
171,bilibino,68.0546,166.4372,256.43,99,100,0.98,RU,1709402904
172,vorgashor,67.5833,63.95,271.89,97,100,6.75,RU,1709402905
173,nouadhibou,20.931,-17.0347,294.14,68,14,9.77,MR,1709402833
174,mithi,24.7318,69.7981,290.72,28,0,7.6,PK,1709402906
175,mahajanga,-15.7167,46.3167,300.41,83,76,3.41,MG,1709402907
176,bowen,-20.0167,148.2333,299.4,85,39,4.32,AU,1709402908
177,sanctuary point,-35.1114,150.629,292.45,88,93,0.69,AU,1709402909
178,saipan,15.1355,145.701,298.54,88,75,0.0,MP,1709402910
179,luderitz,-26.6481,15.1594,291.3,87,1,5.47,NA,1709402911
180,sitka,57.0531,-135.33,269.09,42,0,5.66,US,1709402912
181,jamestown,42.097,-79.2353,282.92,96,100,3.01,US,1709402913
182,kailua-kona,19.6406,-155.9956,295.13,85,40,2.57,US,1709402915
183,outokumpu,62.7269,29.0159,273.09,98,99,3.01,FI,1709402917
184,senanga,-16.1167,23.2667,301.08,34,91,1.31,ZM,1709402917
185,kapa'a,22.0752,-159.319,295.33,82,40,6.69,US,1709402918
186,saint-philippe,-21.3585,55.7679,297.92,78,36,6.68,RE,1709402919
187,peace river,56.2501,-117.286,254.37,80,100,4.54,CA,1709402920
188,bikenibeu village,1.3673,173.1241,301.22,80,94,6.79,KI,1709402921
189,ujar,40.519,47.6542,280.25,62,65,4.17,AZ,1709402922
190,laguna,38.421,-121.4238,283.21,72,75,5.66,US,1709402923
191,avarua,-21.2078,-159.775,299.18,89,100,1.03,CK,1709402924
192,mindelo,16.8901,-24.9804,296.9,60,40,16.46,CV,1709402925
193,tambacounda,13.7539,-13.7586,311.63,6,88,1.23,SN,1709402936
194,gamba,-2.65,10.0,300.12,83,93,3.43,GA,1709402936
195,melekeok village,7.4957,134.6367,300.0,81,83,7.15,PW,1709402937
196,kruisfontein,-34.0033,24.7314,294.2,79,19,1.7,ZA,1709402938
197,alice springs,-23.7,133.8833,297.16,89,92,2.57,AU,1709402939
198,romblon,12.5751,122.2708,299.08,75,96,6.91,PH,1709402940
199,grand gaube,-20.0064,57.6608,299.47,86,95,3.13,MU,1709402951
200,praia,14.9215,-23.5087,297.45,64,20,11.32,CV,1709402952
201,kashgar,39.4547,75.9797,276.0,47,100,2.34,CN,1709402952
202,klyuchi,52.2667,79.1667,261.22,98,99,2.2,RU,1709402953
203,labytnangi,66.6572,66.4183,264.3,94,62,3.25,RU,1709402954
204,sola,-13.8833,167.55,302.05,75,97,6.61,VU,1709402955
205,leh,34.1667,77.5833,265.76,89,99,1.67,IN,1709402956
206,sodankyla,67.4167,26.6,273.89,99,100,3.02,FI,1709402957
207,lorengau,-2.0226,147.2712,300.24,83,98,3.62,PG,1709402958
208,brisas de zicatela,15.8369,-97.0419,302.44,74,0,4.12,MX,1709402959
209,sao felix do xingu,-6.6447,-51.995,302.91,76,42,1.54,BR,1709402960
210,katsuren-haebaru,26.3369,127.8719,287.36,84,100,3.09,JP,1709402960
211,belyy yar,53.6039,91.3903,259.09,85,70,1.0,RU,1709402961
212,severo-yeniseyskiy,60.3725,93.0408,249.53,100,94,1.64,RU,1709402963
213,hadsund,56.7148,10.1168,279.57,99,100,3.26,DK,1709402964
214,nuuk,64.1835,-51.7216,267.49,79,75,13.38,GL,1709402965
215,moab,38.5733,-109.5498,289.18,27,91,4.92,US,1709402966
216,chilliwack,49.1747,-121.9443,278.14,89,100,0.89,CA,1709402967
217,wailua homesteads,22.0669,-159.378,294.59,83,40,6.69,US,1709402967
218,sokoni,-6.4333,39.55,301.96,77,74,4.26,TZ,1709402968
219,rudbar,30.15,62.6,278.25,45,0,4.87,AF,1709402969
220,beledweyne,4.7358,45.2036,305.06,25,98,4.68,SO,1709402970
221,kurtamysh,54.9103,64.4319,259.07,99,87,3.19,RU,1709402971
222,lavras,-21.2453,-44.9997,298.88,70,75,1.48,BR,1709402972
223,hithadhoo,-0.6,73.0833,301.54,73,58,1.64,MV,1709402973
224,papao,-17.75,-149.55,302.97,77,100,8.27,PF,1709402973
225,pathanamthitta,9.2667,76.7833,295.96,82,70,0.9,IN,1709402974
226,zakynthos,37.7914,20.8953,287.39,88,40,1.54,GR,1709402975
227,xinshi,31.047,113.141,278.93,82,85,2.79,CN,1709402976
228,el granada,37.5027,-122.4694,284.94,79,75,8.75,US,1709402977
229,la ronge,55.1001,-105.2842,253.34,78,31,2.69,CA,1709402978
230,katsuura,35.1333,140.3,278.77,60,86,6.61,JP,1709402978
231,abbeville,50.1,1.8333,281.07,95,100,2.91,FR,1709402979
232,sao joao do paraiso,-15.3136,-42.0144,302.46,55,100,2.0,BR,1709402981
233,hammerfest,70.6634,23.6821,276.4,75,100,2.06,NO,1709402982
234,soio,-6.1349,12.3689,300.94,82,83,4.45,AO,1709402983
235,kolonia,50.9333,6.95,287.02,53,0,5.14,DE,1709402723
236,westport,41.1415,-73.3579,283.2,91,100,6.69,US,1709402694
237,zavetnoye,47.1194,43.8903,275.69,55,37,8.82,RU,1709402985
238,mount isa,-20.7333,139.5,293.02,94,87,0.0,AU,1709402759
239,hermanus,-34.4187,19.2345,291.93,83,86,7.18,ZA,1709402987
240,lazaro cardenas,17.9583,-102.2,302.06,44,3,3.82,MX,1709402842
241,kongolo,-5.3833,27.0,296.4,92,100,0.89,CD,1709402988
242,minas de marcona,-15.2119,-75.1103,297.73,60,31,5.21,PE,1709402989
243,utrik,11.2278,169.8474,299.74,81,76,10.93,MH,1709402990
244,stephenville,32.2207,-98.2023,299.13,33,0,5.14,US,1709402991
245,thompson,55.7435,-97.8558,256.54,79,43,3.96,CA,1709402992
246,korla,41.7597,86.1469,273.29,53,95,0.34,CN,1709402993
247,whitehorse,60.7161,-135.0538,250.58,66,75,5.14,CA,1709402994
248,portland,45.5234,-122.6762,276.78,94,100,3.6,US,1709402995
249,olhao,37.0286,-7.8411,288.09,82,40,9.77,PT,1709402996
250,la'ie,21.6477,-157.9253,296.82,73,3,3.58,US,1709402997
251,awjilah,29.1081,21.2869,292.26,25,1,3.55,LY,1709402998
252,santa cruz,-17.8,-63.1667,308.09,39,32,6.56,BO,1709402999
253,saudarkrokur,65.7461,-19.6394,265.12,75,41,3.4,IS,1709403000
254,fort bragg,35.139,-79.006,292.49,78,100,2.57,US,1709403000
255,shenjiamen,29.9576,122.298,278.62,70,0,4.2,CN,1709403001
256,puerto baquerizo moreno,-0.9,-89.6,302.7,74,40,4.12,EC,1709403002
257,knyaze-volkonskoye,48.4642,135.4567,258.34,98,95,2.6,RU,1709403003
258,tofol,5.3248,163.0078,300.99,77,100,9.83,FM,1709403004
259,cedeira,43.6797,-8.0209,282.02,74,82,6.49,ES,1709403005
260,raduzhnyy,62.0961,77.475,264.6,95,100,5.41,RU,1709403006
261,calgary,51.0501,-114.0853,259.79,82,100,6.69,CA,1709402874
262,tamanrasset,22.785,5.5228,296.1,6,0,2.06,DZ,1709403008
263,buenos aires,-34.6132,-58.3772,303.03,71,75,3.6,AR,1709402983
264,east london,-33.0153,27.9116,296.25,81,77,6.56,ZA,1709403011
265,benghazi,32.1167,20.0667,289.61,70,14,5.32,LY,1709403012
266,lihue,21.9789,-159.3672,294.92,82,40,6.69,US,1709403013
267,zouerate,22.7187,-12.4521,297.53,19,0,5.78,MR,1709403014
268,minot,48.2325,-101.2963,270.21,82,100,6.42,US,1709402493
269,byron bay,-28.65,153.6167,296.32,95,94,2.91,AU,1709403015
270,luganville,-15.5333,167.1667,300.47,84,98,1.92,VU,1709403016
271,sambava,-14.2667,50.1667,299.47,85,100,4.32,MG,1709403017
272,kempsey,-31.0833,152.8333,294.79,94,87,0.89,AU,1709403019
273,lyubim,58.3625,40.6843,268.3,99,95,1.83,RU,1709403020
274,okhotsk,59.3833,143.3,261.39,95,100,2.75,RU,1709403021
275,payyannur,12.1,75.2,299.32,84,83,2.21,IN,1709403022
276,novodvinsk,64.4165,40.8122,273.03,95,98,3.69,RU,1709403024
277,el calafate,-50.3408,-72.2768,283.72,48,7,11.29,AR,1709403025
278,penzance,50.1186,-5.5371,280.53,69,77,8.76,GB,1709403026
